Variant,Model,Accuracy,Macro_F1,Weighted_F1,MCC,ROC_AUC,PR_AUC
ADASYN,RandomForest,0.9232435647,0.9233951907,0.9232001426,0.8976931328,0.9888820322,0.9691245776
ADASYN,XGBoost,0.855237448,0.8552796593,0.8548621453,0.807238079,0.969271057,0.9197272204
ADASYN,LightGBM,0.8217228783,0.8217469888,0.8212581962,0.7626134653,0.9560024783,0.8860499063
ADASYN,SVM,0.5857191403,0.5772361471,0.5768906076,0.4565774147,0.8166494564,0.5968786445
CTGAN,RandomForest,0.872526,0.808203,0.872435,0.819393,0.969324,0.872155
CTGAN,LightGBM,0.879522,0.818304,0.879153,0.808788,0.973226,0.887518
CTGAN,XGBoost,0.84872,0.772534,0.848658,0.773069,0.960541,0.837609
,,,,,,,
BISMOTE,XGBoost,0.8800341297,0.8191019017,0.8796877438,0.8201367269,0.9732416209,0.8882446359
BISMOTE,LightGBM,0.8755119454,0.8122140626,0.8751350555,0.813350927,0.9715961508,0.881053896
BISMOTE,RandomForest,0.8747440273,0.8115183018,0.8746253468,0.8121189232,0.9697623077,0.8737297225
BISMOTE,SVM,0.7523890785,0.6277512445,0.7511378677,0.6305541117,0.9086839232,0.6648338206
TVAE,XGBoost,0.7860594398,0.7861585539,0.7861565676,0.7147679875,0.9420361802,0.8520757442
TVAE,LightGBM,0.7822108189,0.7824121577,0.7824101838,0.7096868906,0.9398799561,0.8469092357
TVAE,RandomForest,0.7796023092,0.7798052138,0.7798029626,0.7062731432,0.9357745549,0.8323944215
TVAE,SVM,0.6904425914,0.6900189773,0.6900142674,0.5884874542,0.8856181606,0.7216620447
SMOTE,RandomForest,0.9323776612,0.9323556872,0.9323569003,0.9098581504,0.9899171217,0.9718943877
SMOTE,XGBoost,0.8684244208,0.8679968911,0.8679994349,0.8248335347,0.9739357585,0.9310202044
SMOTE,LightGBM,0.8384743376,0.837969027,0.8379720386,0.784966538,0.9620915852,0.9016001382
SMOTE,SVM,0.5870130978,0.5790049415,0.5790099888,0.4572196658,0.8192927134,0.5964387941
