method,classifier,f1_original,f1_augmented,delta
QGAN,RandomForest,0.8127131731127064,0.8121048516501763,-0.0006083214625300926
QGAN,XGBoost,0.8211301577605589,0.8199610206736703,-0.0011691370868885942
QGAN,LightGBM,0.8128939433210591,0.8108144165543851,-0.0020795267666740003
QGAN,SVM,0.6089420265087617,0.6039015183909929,-0.005040508117768794
SMOTE,RandomForest,0.8127131731127064,0.898787863445656,0.08607469033294957
SMOTE,XGBoost,0.8211301577605589,0.8681129827036003,0.0469828249430414
SMOTE,LightGBM,0.8128939433210591,0.8418842587975683,0.02899031547650921
SMOTE,SVM,0.6089420265087617,0.6222264267396271,0.013284400230865412
CTGAN,RandomForest,0.8127131731127064,0.8081817315864086,-0.004531441526297808
CTGAN,XGBoost,0.8211301577605589,0.8083325832921446,-0.01279757446841423
CTGAN,LightGBM,0.8128939433210591,0.792739465451227,-0.020154477869832155
CTGAN,SVM,0.6089420265087617,0.5959000993223815,-0.013041927186380198
