model,version,dataset,seed,q_acc,q_f1,classical_svm,classical_rf,classical_best,margin,source
qsvm,v1,qgan,7,0.35,0.1728395061728395,0.5266666666666666,0.5666666666666667,0.5666666666666667,-0.21666666666666667,this_session_seed_expansion
qsvm,v2,qgan,7,0.55,0.5157477025898078,0.6333333333333333,0.5933333333333334,0.6333333333333333,-0.08333333333333326,this_session_seed_expansion
qsvm,v3,ctgan,7,0.875,0.8732974910394264,0.8066666666666666,0.8733333333333333,0.8733333333333333,0.0016666666666667052,original_comprehensive_study
qsvm,v3,ctgan,100,0.775,0.7720936968248796,0.7933333333333333,0.8533333333333334,0.8533333333333334,-0.07833333333333337,this_session_seed_expansion
qsvm,v3,ctgan,123,0.475,0.47974367329206036,0.7,0.7733333333333333,0.7733333333333333,-0.29833333333333334,this_session_seed_expansion
qsvm,v3,original,7,0.5,0.5028985507246376,0.44,0.4666666666666667,0.4666666666666667,0.033333333333333326,original_comprehensive_study
qsvm,v3,original,100,0.55,0.5502079619726677,0.44666666666666666,0.5466666666666666,0.5466666666666666,0.0033333333333334103,this_session_seed_expansion
qsvm,v3,original,123,0.575,0.5728974331124869,0.49333333333333335,0.5133333333333333,0.5133333333333333,0.06166666666666665,this_session_seed_expansion
qsvm,v3,qgan,1,0.55,0.5421888053467,0.5466666666666666,0.58,0.58,-0.029999999999999916,this_session_seed_expansion
qsvm,v3,qgan,7,0.625,0.6156003883914122,0.5533333333333333,0.5866666666666667,0.5866666666666667,0.03833333333333333,this_session_seed_expansion
qsvm,v3,qgan,42,0.525,0.5238095238095238,0.5533333333333333,0.5933333333333334,0.5933333333333334,-0.06833333333333336,this_session_seed_expansion
qsvm,v3,qgan,100,0.475,0.4622651637144391,0.5866666666666667,0.58,0.5866666666666667,-0.11166666666666669,this_session_seed_expansion
qsvm,v3,qgan,123,0.525,0.5149755018176071,0.5666666666666667,0.58,0.58,-0.05499999999999994,this_session_seed_expansion
qsvm,v3,smote,1,0.6,0.5961038961038961,0.5266666666666666,0.5066666666666667,0.5266666666666666,0.07333333333333336,original_comprehensive_study
qsvm,v3,smote,7,0.35,0.34084942640342364,0.46,0.52,0.52,-0.17000000000000004,original_comprehensive_study
qsvm,v3,smote,100,0.4,0.39058857808857805,0.44,0.44666666666666666,0.44666666666666666,-0.046666666666666634,this_session_seed_expansion
qsvm,v3,smote,123,0.425,0.4166666666666667,0.54,0.5866666666666667,0.5866666666666667,-0.16166666666666668,this_session_seed_expansion
